,Origen,Destino,Tipo,Distancia
525,Aparcamiento para residentes. Pez Volador,72 - Sainz de Baranda,Residentes,472.3910282663048
526,Aparcamiento para residentes. Pico de los Artilleros,219 - Marroquina,Residentes,814.0598693936549
527,Aparcamiento para residentes. Pilar de Zaragoza,243 - Cartagena,Publicos Municipales,130.07886226669424
528,Aparcamiento para residentes. Pilar de Zaragoza,243 - Cartagena,Residentes,130.07886226669424
529,Aparcamiento para residentes. Pío Baroja I,83 - Pío Baroja,Residentes,13.374276049286289
530,Aparcamiento para residentes. Pío Baroja II,221 - Pavones,Publicos Municipales,478.9961656425771
531,Aparcamiento para residentes. Pío Baroja II,221 - Pavones,Residentes,478.9961656425771
532,Aparcamiento para residentes. Platón,230 - Carlota O’Neill,Publicos Municipales,390.1546324588286
533,Aparcamiento para residentes. Platón,230 - Carlota O’Neill,Residentes,390.1546324588286
534,Aparcamiento para residentes. Poeta Leopoldo de Luis,205 - Estrecho,Publicos Municipales,153.13888190216474
535,Aparcamiento para residentes. Poeta Leopoldo de Luis,205 - Estrecho,Residentes,153.13888190216474
536,Aparcamiento para residentes. Pradillo,196 - Prosperidad,Publicos Municipales,678.2316697186399
537,Aparcamiento para residentes. Pradillo,196 - Prosperidad,Residentes,678.2316697186399
538,Aparcamiento para residentes. Pradillo II,251 - Corazón de María,Publicos Municipales,723.3921679462784
539,Aparcamiento para residentes. Pradillo II,251 - Corazón de María,Residentes,723.3921679462784
540,Aparcamiento para residentes. Puerto Monasterio,227 - Concordia,Publicos Municipales,243.0412071561255
541,Aparcamiento para residentes. Puerto Monasterio,227 - Concordia,Residentes,243.0412071561255
542,Aparcamiento para residentes. Rafael Finat,224 - Caramuel,Publicos Municipales,4890.774032083773
543,Aparcamiento para residentes. Rafael Finat,224 - Caramuel,Residentes,4890.774032083773
544,Aparcamiento para residentes. Rafael Salgado,253 - Doctor Fleming,Publicos Municipales,150.7551551758066
545,Aparcamiento para residentes. Rafael Salgado,253 - Doctor Fleming,Residentes,150.7551551758066
546,Aparcamiento para residentes. Rafaela Ybarra,213 - Glorieta de Cádiz,Publicos Municipales,1536.9224325050282
547,Aparcamiento para residentes. Rafaela Ybarra,213 - Glorieta de Cádiz,Residentes,1536.9224325050282
548,Aparcamiento para residentes. Ramales,36 - Plaza Ramales,Publicos Municipales,133.49723450118762
549,Aparcamiento para residentes. Ramón Gómez de la Serna,239 - Francos Rodríguez,Publicos Municipales,3478.4451213136103
550,Aparcamiento para residentes. Ramos Carrión,251 - Corazón de María,Publicos Municipales,264.1104347130753
551,Aparcamiento para residentes. Ramos Carrión,251 - Corazón de María,Residentes,264.1104347130753
552,Aparcamiento para residentes. Redondela,207 - Remonta,Publicos Municipales,2084.253312348386
553,Aparcamiento para residentes. Redondela,207 - Remonta,Residentes,2084.253312348386
554,Aparcamiento para residentes. Reina Victoria,256 - Reina Victoria,Publicos Municipales,402.2901786616492
555,Aparcamiento para residentes. Reina Victoria,256 - Reina Victoria,Residentes,402.2901786616492
556,Aparcamiento para residentes. Ribadavia,207 - Remonta,Publicos Municipales,1400.885167642227
557,Aparcamiento para residentes. Ribadavia,207 - Remonta,Residentes,1400.885167642227
558,Aparcamiento para residentes. Ribadeo,207 - Remonta,Publicos Municipales,2157.7283660891835
559,Aparcamiento para residentes. Ribadeo,207 - Remonta,Residentes,2157.7283660891835
560,Aparcamiento para residentes. Ríos Rosas,130 - Santa Engracia 127,Publicos Municipales,56.821641561742055
561,Aparcamiento para residentes. Ríos Rosas,130 - Santa Engracia 127,Residentes,56.821641561742055
562,Aparcamiento para residentes. Rutilio Gacís,176 - Beata,Publicos Municipales,207.5364145861094
563,Aparcamiento para residentes. Rutilio Gacís,176 - Beata,Residentes,207.5364145861094
564,Aparcamiento para residentes. San Amaro,152 - General Perón 1,Publicos Municipales,240.0787748775384
565,Aparcamiento para residentes. San Amaro,152 - General Perón 1,Residentes,240.0787748775384
566,Aparcamiento para residentes. San Antonio de la Florida,161 - Paseo de la Florida,Publicos Municipales,602.9992173530359
567,Aparcamiento para residentes. San Antonio de la Florida,161 - Paseo de la Florida,Residentes,602.9992173530359
568,Aparcamiento para residentes. San Aureliano,213 - Glorieta de Cádiz,Publicos Municipales,5426.442946626973
569,Aparcamiento para residentes. San Cipriano,221 - Pavones,Publicos Municipales,3693.412005876928
570,Aparcamiento para residentes. San Cipriano,221 - Pavones,Residentes,3693.412005876928
571,Aparcamiento para residentes. San Francisco de Sales I,203 - San Francisco de Sales,Publicos Municipales,72.36409335733683
572,Aparcamiento para residentes. San Francisco de Sales I,203 - San Francisco de Sales,Residentes,72.36409335733683
573,Aparcamiento para residentes. San Francisco de Sales II,203 - San Francisco de Sales,Publicos Municipales,42.22079627861199
574,Aparcamiento para residentes. San Francisco de Sales II,203 - San Francisco de Sales,Residentes,42.22079627861199
575,Aparcamiento para residentes. San Germán,206 - Metro Tetuán,Publicos Municipales,369.48051655890686
576,Aparcamiento para residentes. San Germán,206 - Metro Tetuán,Residentes,369.48051655890686
577,Aparcamiento para residentes. San Juan de la Cruz,135 - Plaza de San Juan de la Cruz,Publicos Municipales,135.18123102818566
578,Aparcamiento para residentes. San Juan de la Cruz,135 - Plaza de San Juan de la Cruz,Residentes,135.18123102818566
579,Aparcamiento para residentes. San Juan de la Salle,149 - Paseo de la Habana 42,Publicos Municipales,158.786287071305
580,Aparcamiento para residentes. San Juan de la Salle,149 - Paseo de la Habana 42,Residentes,158.786287071305
581,Aparcamiento para residentes. San Lamberto,234 - Marqués de Corbera 52,Publicos Municipales,447.4747302849914
582,Aparcamiento para residentes. San Lamberto,234 - Marqués de Corbera 52,Residentes,447.4747302849914
583,Aparcamiento para residentes. Sancho de Córdoba,220 - Plaza del Encuentro,Publicos Municipales,253.8712784909474
584,Aparcamiento para residentes. Sancho de Córdoba,220 - Plaza del Encuentro,Residentes,253.8712784909474
585,Aparcamiento para residentes. Santa Cruz,40 - Conde de Romanones,Publicos Municipales,92.05981919880529
586,Aparcamiento para residentes. Santa Cruz,40 - Conde de Romanones,Residentes,92.05981919880529
587,Aparcamiento para residentes. Santa Eugenia,221 - Pavones,Publicos Municipales,3604.6839902428223
588,Aparcamiento para residentes. Santa Eugenia,221 - Pavones,Residentes,3604.6839902428223
589,Aparcamiento para residentes. Santa Susana,254 - Pío XII,Publicos Municipales,3929.9056817930687
590,Aparcamiento para residentes. Santa Susana,254 - Pío XII,Residentes,3929.9056817930687
591,Aparcamiento para residentes. Santa Virgilia,230 - Carlota O’Neill,Publicos Municipales,3691.842242889612
592,Aparcamiento para residentes. Santa Virgilia,230 - Carlota O’Neill,Residentes,3691.842242889612
593,Aparcamiento para residentes. Santander,202 - Parque Santander,Publicos Municipales,418.10776448058647
594,Aparcamiento para residentes. Santander,202 - Parque Santander,Residentes,418.10776448058647
595,Aparcamiento para residentes. Santo Domingo de Silos,149 - Paseo de la Habana 42,Publicos Municipales,115.14568550562817
596,Aparcamiento para residentes. Santo Domingo de Silos,149 - Paseo de la Habana 42,Residentes,115.14568550562817
597,Aparcamiento para residentes. Sarriá,239 - Francos Rodríguez,Publicos Municipales,2250.320491135408
598,Aparcamiento para residentes. Sarriá,239 - Francos Rodríguez,Residentes,2250.320491135408
599,Aparcamiento para residentes. Somontín,254 - Pío XII,Publicos Municipales,2747.131618014959
600,Aparcamiento para residentes. Somontín,254 - Pío XII,Residentes,2747.131618014959
601,Aparcamiento para residentes. Sor Ángela de la Cruz,206 - Metro Tetuán,Publicos Municipales,383.7026283324964
602,Aparcamiento para residentes. Sor Ángela de la Cruz,206 - Metro Tetuán,Residentes,383.7026283324964
603,Aparcamiento para residentes. Tembleque,224 - Caramuel,Publicos Municipales,4512.0932714478495
604,Aparcamiento para residentes. Tembleque,224 - Caramuel,Residentes,4512.0932714478495
605,Aparcamiento para residentes. Tomelloso,213 - Glorieta de Cádiz,Publicos Municipales,811.078785188607
606,Aparcamiento para residentes. Tomelloso,213 - Glorieta de Cádiz,Residentes,811.078785188607
607,Aparcamiento para residentes. Uruguay,160 - Colombia,Publicos Municipales,425.3282884513123
