;PK;NOMBRE;BARRIO;DISTRITO;LATITUD;LONGITUD;Place address
14;6143690;Aparcamiento mixto. Marqués de Salamanca;LISTA;SALAMANCA;40.43046723981028;-3.6792137901324056;PLAZA MARQUES DE SALAMANCA, 8
15;182188;Aparcamiento mixto. Miguel Yuste;SIMANCAS;SAN BLAS-CANILLEJAS;40.4402052387976;-3.625049272913964;CALLE MIGUEL YUSTE, 11
16;13465;Aparcamiento mixto. Montalbán;LOS JERONIMOS;RETIRO;40.41802725000116;-3.691123387515545;CALLE MONTALBAN, 4
17;5517342;Aparcamiento mixto. Orense;CASTILLEJOS;TETUAN;40.45973534025835;-3.696233037592236;CALLE SOR ANGELA DE LA CRUZ, 27
18;52114;Aparcamiento mixto. Pedro Zerolo 'antes denominado Vázquez de Mella';JUSTICIA;CENTRO;40.4209564450911;-3.699899832865304;PLAZA PEDRO ZEROLO, 1
19;33440;Aparcamiento mixto. Plaza de Oriente;PALACIO;CENTRO;40.41763250956112;-3.711640708800476;PLAZA ORIENTE, 1
20;11544439;Aparcamiento mixto. Plaza de Santo Domingo (cerrado);PALACIO;CENTRO;40.420309392199975;-3.7085594772486696;PLAZA SANTO DOMINGO, 1
21;13466;Aparcamiento mixto. Plaza Mayor;SOL;CENTRO;40.41586882022003;-3.706895619414367;CALLE FELIPE III, 11
22;36271;Aparcamiento mixto. Presidente Carmona;CUATRO CAMINOS;TETUAN;40.45362846199134;-3.6975262417380064;AVENIDA PRESIDENTE CARMONA, 3
23;13476;Aparcamiento mixto. Recoletos (cerrado);RECOLETOS;SALAMANCA;40.42054469225109;-3.691974283683488;PASEO RECOLETOS, 4
24;24193;Aparcamiento mixto. República Dominicana;NUEVA ESPAÑA;CHAMARTIN;40.45887037458626;-3.676527589517668;PLAZA REPUBLICA DOMINICANA, 6
25;81828;Aparcamiento mixto. Reyes Magos;NIÑO JESUS;RETIRO;40.40870074627349;-3.6762488802382896;PLAZA REYES MAGOS, 14
26;167692;Aparcamiento mixto. San Cayetano;GUINDALERA;SALAMANCA;40.43432235224971;-3.6700799322371056;PLAZA SAN CAYETANO, 1
27;13515;Aparcamiento mixto. San Germán II (antes General Yagüe);CASTILLEJOS;TETUAN;40.45673936450418;-3.694067405537416;AVENIDA BRASIL, 15
28;19053;Aparcamiento mixto. Sánchez Bustillo;EMBAJADORES;CENTRO;40.40917205238472;-3.694014559298804;CALLE SANCHEZ BUSTILLO, 1
29;7416748;Aparcamiento mixto. Serrano I;CASTELLANA;SALAMANCA;40.43289700914247;-3.685769778039016;CALLE JUAN BRAVO, 4
30;7417028;Aparcamiento mixto. Serrano II;CASTELLANA;SALAMANCA;40.43059379257075;-3.688281097618061;CALLE JOSE ORTEGA Y GASSET, 1
31;7417052;Aparcamiento mixto. Serrano III;RECOLETOS;SALAMANCA;40.42446775888825;-3.6897747066093993;CALLE JORGE JUAN, 1
32;13460;Aparcamiento mixto. Sevilla;SOL;CENTRO;40.41780383567921;-3.699808226107175;CALLE ALCALA, 17
33;13458;Aparcamiento mixto. Velázquez - Ayala;RECOLETOS;SALAMANCA;40.42720378718548;-3.6841676172873936;CALLE VELAZQUEZ, 47
